,,,,,weight (g),width relaxed,height relaxed,width stretched,height stretched,,,,,,,,,,,,,,
,,,std dev,std dev,0.13,9.11,5.77,13.53,10.26,,,,,,,,,,,,,,
,,,median,median,3.98,103.00,82.00,171.00,100.00,,,,,,,,,,,,,,
,,,average,average,3.98,103.00,82.47,171.28,100.98,,,,,,,,,,,,,,
,,,max,max,4.37,129.00,101.00,227.00,179.00,,,,,,,,,,,,,,
,,,min,min,3.26,77.00,65.00,121.00,67.00,,,,,,,,,,,#DIV/0!,,,
knit?,datID,datPos,patternName,"if reprocessed, new ID",weight (g),width relaxed,height relaxed,width stretched,height stretched,KnitPaint error or other knitting notes,double decrease (in SM set),toMachine error,dataset,photo relaxed,photo stretched,Relaxed Width Gauge (st/mm),Relaxed Height Gauge (row/mm),Stretched Width Gauge (st/mm),Stretched Height Gauge (row/mm),Relaxed Width Gauge (st/in),Relaxed Height Gauge (row/in),Stretched Width Gauge (st/in),Stretched Height Gauge (row/in)
,,,,,,,,,,"note ""ESC"" = ""essential stitch collection"", ""SM"" = ""stitch maps""",,,,,,,,,,,,,
,false ,false ,074WovenCable_out.chart,,,,,,,fails to pass toMachine because 3x3 cable,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!
x,18,2,075Chain_out.chart,,3.87,84,71,120,80,,,false ,ESC,,,0.7142857143,0.8450704225,0.5,0.75,18.14285714,21.46478873,12.7,19.05
x,18,3,075WavesL_out.chart,,3.91,81,72,120,77,,,false ,ESC,,,0.7407407407,0.8333333333,0.5,0.7792207792,18.81481481,21.16666667,12.7,19.79220779
x,19,1,075WavesR_out.chart,,3.89,81,72,120,80,,,false ,ESC,,,0.7407407407,0.8333333333,0.5,0.75,18.81481481,21.16666667,12.7,19.05
x,19,2,076DoubleHoneyComb_out.chart,,3.87,89,75,124,88,,,false ,ESC,,,0.6741573034,0.8,0.4838709677,0.6818181818,17.12359551,20.32,12.29032258,17.31818182
x,19,3,077RopeAndHoop_out.chart,,3.80,81,83,131,100,,,false ,ESC,,,0.7407407407,0.7228915663,0.4580152672,0.6,18.81481481,18.36144578,11.63358779,15.24
x,20,1,078CrackerChecks_out.chart,,3.98,91,79,170,80,k/p inversion? ask megan (update: megan says this one is supposed to look like this),,false ,ESC,,,0.6593406593,0.7594936709,0.3529411765,0.75,16.74725275,19.29113924,8.964705882,19.05
x,20,2,079DiagonalL_out.chart,,3.95,83,73,125,72,,,false ,ESC,,,0.7228915663,0.8219178082,0.48,0.8333333333,18.36144578,20.87671233,12.192,21.16666667
x,20,3,079DiagonalR_out.chart,,3.98,81,77,123,73,,,false ,ESC,,,0.7407407407,0.7792207792,0.487804878,0.8219178082,18.81481481,19.79220779,12.3902439,20.87671233
x,21,1,079StagHorn_out.chart,,3.91,86,76,130,91,,,false ,ESC,,,0.6976744186,0.7894736842,0.4615384615,0.6593406593,17.72093023,20.05263158,11.72307692,16.74725275
x,21,2,080WeatearCable_out.chart,,4.04,81,79,153,74,,,false ,ESC,,,0.7407407407,0.7594936709,0.3921568627,0.8108108108,18.81481481,19.29113924,9.960784314,20.59459459
x,21,3,081OffCenterCable_out.chart,,4.11,86,84,177,75,,,false ,ESC,,,0.6976744186,0.7142857143,0.3389830508,0.8,17.72093023,18.14285714,8.610169492,20.32
x,22,1,083Braid_out.chart,,4.02,80,70,114,72,,,false ,ESC,,,0.75,0.8571428571,0.5263157895,0.8333333333,19.05,21.77142857,13.36842105,21.16666667
x,22,2,083XO_out.chart,,4.04,86,68,119,86,,,false ,ESC,,,0.6976744186,0.8823529412,0.5042016807,0.6976744186,17.72093023,22.41176471,12.80672269,17.72093023
x,22,3,084NarrowRopeB_out.chart,,3.90,84,72,120,85,,,false ,ESC,,,0.7142857143,0.8333333333,0.5,0.7058823529,18.14285714,21.16666667,12.7,17.92941176
,false ,false ,084WideRopeB_out.chart,,,,,,,fails to pass toMachine because 3x3 cable,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,false ,false ,084WideRopeF_out.chart,,,,,,,fails to pass toMachine because 3x3 cable,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
x,23,1,085InterlockingDiagonals_out.chart,,4.06,86,76,134,85,,,false ,ESC,,,0.6976744186,0.7894736842,0.447761194,0.7058823529,17.72093023,20.05263158,11.37313433,17.92941176
x,23,2,085NarrowRopeF_out.chart,201_2,3.91,89,63,116,87,a few dropped stitches,,false ,ESC,,,0.6741573034,0.9523809524,0.5172413793,0.6896551724,17.12359551,24.19047619,13.13793103,17.51724138
x,23,3,086Zigzagbranch_out.chart,,4.24,90,80,139,92,,,false ,ESC,,,0.6666666667,0.75,0.4316546763,0.652173913,16.93333333,19.05,10.96402878,16.56521739
x,24,1,087OpenZigZag_out.chart,,3.85,100,80,151,82,,,false ,ESC,,,0.6,0.75,0.3973509934,0.7317073171,15.24,19.05,10.09271523,18.58536585
x,24,2,091CableNetwork_out.chart,,4.01,83,80,124,92,,,false ,ESC,,,0.7228915663,0.75,0.4838709677,0.652173913,18.36144578,19.05,12.29032258,16.56521739
,false ,false ,093GarterDiamondCablePanel_out.chart,,,,,,,fails to pass toMachine because 3x2 cable,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
x,24,3,094GrandDiamondPanel_out.chart,,3.99,95,79,162,76,,,false ,ESC,,,0.6315789474,0.7594936709,0.3703703704,0.7894736842,16.04210526,19.29113924,9.407407407,20.05263158
x,25,1,096DoubleCross_out.chart,,4.10,90,78,141,93,,,false ,ESC,,,0.6666666667,0.7692307692,0.4255319149,0.6451612903,16.93333333,19.53846154,10.80851064,16.38709677
x,25,2,097DiagonalDiamond_out.chart,,4.04,93,83,156,80,,,false ,ESC,,,0.6451612903,0.7228915663,0.3846153846,0.75,16.38709677,18.36144578,9.769230769,19.05
,false ,false ,098InterlacedBraid_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
/,25,3,103OverAndUnderCablePanel_out.chart,202_1,4.02,82,76,123,96,reknit because dropped stitch; stitches dropped (cable strain) even with new transfer planning,,false ,ESC,,,#REF!,0.7317073171,0.487804878,0.625,#REF!,18.58536585,12.3902439,15.875
x,26,1,104FramedDiamond_out.chart,300_1,4.14,88,78,151,101,,,false ,ESC,,,0.6818181818,0.7692307692,0.3973509934,0.5940594059,17.31818182,19.53846154,10.09271523,15.08910891
,false ,false ,107Chain_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
x,26,2,122BabyShaleStitch_out.chart,202_2,3.94,102,71,151,101,continuous pickup (double decrease bug),,false ,ESC,,,0.5882352941,0.8450704225,0.3973509934,0.5940594059,14.94117647,21.46478873,10.09271523,15.08910891
x,26,3,123EyeLetRib_out.chart,300_2,4.11,95,90,172,113,,,false ,ESC,,,0.6315789474,0.6666666667,0.3488372093,0.5309734513,16.04210526,16.93333333,8.860465116,13.48672566
x,27,1,124SpotStitch_out.chart,,4.04,109,83,182,94,,,false ,ESC,,,0.5504587156,0.7228915663,0.3296703297,0.6382978723,13.98165138,18.36144578,8.373626374,16.21276596
x,27,2,125CloverPowdering_out.chart,,4.01,105,82,179,83,,,false ,ESC,,,0.5714285714,0.7317073171,0.3351955307,0.7228915663,14.51428571,18.58536585,8.51396648,18.36144578
x,27,3,126OpenDiamonds_out.chart,,3.94,107,86,192,77,,,false ,ESC,,,0.5607476636,0.6976744186,0.3125,0.7792207792,14.24299065,17.72093023,7.9375,19.79220779
x,28,1,127LaddersNarrow_out.chart,,3.90,102,85,193,80,,,false ,ESC,,,0.5882352941,0.7058823529,0.310880829,0.75,14.94117647,17.92941176,7.896373057,19.05
x,28,2,127LaddersWide_out.chart,203_1,4.06,92,88,169,111,"investigate -- maybe dropping stitches? maybe intentional.  pattern is called ""ladder"".  has now been reknit.",,false ,ESC,,,0.652173913,0.6818181818,0.3550295858,0.5405405405,16.56521739,17.31818182,9.017751479,13.72972973
x,28,3,128Fernleaf_out.chart,,3.91,108,82,172,87,,,false ,ESC,,,0.5555555556,0.7317073171,0.3488372093,0.6896551724,14.11111111,18.58536585,8.860465116,17.51724138
x,29,1,129BranchingFern_out.chart,203_2,3.83,94,84,151,91,double decrease bug? actually appears to not be a double decrease but a similar behavior. good test case for debugging.,,false ,ESC,,,0.6382978723,0.7142857143,0.3973509934,0.6593406593,16.21276596,18.14285714,10.09271523,16.74725275
x,29,2,131FourSpotLace_out.chart,300_3,3.93,101,78,172,100,,,false ,ESC,,,0.5940594059,0.7692307692,0.3488372093,0.6,15.08910891,19.53846154,8.860465116,15.24
