"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
28,3,"128Fernleaf_out.chart","28_3_128Fernleaf",ESC,,3.91,108,82,172,87,
29,1,"129BranchingFern_out.chart","29_1_129BranchingFern",ESC,,3.83,94,84,151,91,"double decrease bug? actually appears to not be a double decrease but a similar behavior. good test case for debugging."
29,2,"131FourSpotLace_out.chart","29_2_131FourSpotLace",ESC,,3.93,101,78,172,100,
30,1,"133Harebell_out.chart","30_1_133Harebell",ESC,,4.00,104,83,162,105,"double decreases"
30,2,"136ZigZagLace_out.chart","30_2_136ZigZagLace",ESC,,3.81,115,82,170,109,
30,3,"137ChevronLace_out.chart","30_3_137ChevronLace",ESC,,3.85,105,79,174,81,
31,1,"138DaisyLadder_out.chart","31_1_138DaisyLadder",ESC,,3.88,101,79,158,106,
31,2,"139Crocus_out.chart","31_2_139Crocus",ESC,,3.84,104,82,171,104,"Two sets of stretched photos, not sure which corresponds to measurement."
31,3,"140JeweledHeart_out.chart","31_3_140JeweledHeart",ESC,,4.00,101,84,164,108,"chart was wrong size (probably happened when fixing the bad panel repeat); waiting for a new chart"
32,1,"142LacyPaisley_out.chart","32_1_142LacyPaisley",ESC,,3.99,105,77,166,92,
32,2,"143TrellisAndVine_out.chart","32_2_143TrellisAndVine",ESC,,4.11,105,79,162,100,"measured twice"
32,3,"144MoonFlower_out.chart","32_3_144MoonFlower",ESC,,4.08,101,90,177,108,
33,1,"146FiligreeHeart_out.chart","33_1_146FiligreeHeart",ESC,,3.92,101,81,163,102,"needs a repeat fix from megan"
33,2,"147DiamondWithDiamond_out.chart","33_2_147DiamondWithDiamond",ESC,,3.86,110,84,195,76,"lea needs to debug a double decrease, boo"
33,3,"148DoublDiamondMesh_out.chart","33_3_148DoublDiamondMesh",ESC,,3.89,107,80,177,94,"dropped stitches"
34,1,"150Triangles_out.chart","34_1_150Triangles",ESC,,3.81,101,83,182,94,
34,2,"152OutlinedDaimonds_out.chart","34_2_152OutlinedDaimonds",ESC,,3.86,105,80,165,97,"has been reknit"
34,3,"154LittleBranches_out.chart","34_3_154LittleBranches",ESC,,3.83,103,86,172,110,
35,1,"155Lily_out.chart","35_1_155Lily",ESC,,3.94,104,82,164,98,"*one* dropped stitch, so probably mechanical, not code error"
35,2,"157RibbedLeaves_out.chart","35_2_157RibbedLeaves",ESC,,3.98,98,86,160,106,"several dropped stitches"
35,3,"158FlowerGarden_out.chart","35_3_158FlowerGarden",ESC,,3.93,101,86,185,82,
36,1,"159FernLace_out.chart","36_1_159FernLace",ESC,,3.92,105,79,153,101,"dropped stitches"
36,2,"162DaisyLace_out.chart","36_2_162DaisyLace",ESC,,3.88,106,80,161,95,"dropped stitches"
37,1,"000No_out.chart","37_1_000No",SM,,3.98,98,88,157,101,"double decrease bug (code error)"
37,2,"0011_f909807e3256dfdf1fc151f54cc590e83fb9d750_out.chart","37_2_0011",SM,,4.06,101,86,183,95,"double decrease bug (code error)"
37,3,"002a_82adc44e8f2d9f77613fbd236c9740a063c5a0fc_out.chart","37_3_002a",SM,,3.90,113,65,175,95,
38,1,"003O_6143a4a044fa80bc1958e97fbc0814593efd0b5d_out.chart","38_1_003O",SM,,3.87,101,87,173,80,
38,2,"004FL_7b377e08c30e948417951e4d5ee722a1750cce05_out.chart","38_2_004FL",SM,,3.85,110,81,162,119,
38,3,"005bat_34a0bae11b3751739fb449e2aba416b66a145be8_out.chart","38_3_005bat",SM,,3.91,105,83,182,94,"double decreases pass knitassist but are mechanically failing"
39,1,"006hmm_e009fc6e0d715cf59bcd7fbb59ddd74fd0210f72_out.chart","39_1_006hmm",SM,,3.81,110,83,177,100,"photo ""A"""
,,"006hmm_e009fc6e0d715cf59bcd7fbb59ddd74fd0210f72_out.chart",,SM,yes,3.84,108,83,187,93,"second measurement; photo ""B"""
39,2,"007Owl_af2ec3fb81ce6779c3ed82b48a9d76b7d05b23f2_out.chart","39_2_007Owl",SM,,3.90,92,80,171,84,"knit, but somehow lost its cables :("
39,3,"008Pid_e8843cb93439b1df55279dfae7cc2f7e88ca8987_out.chart","39_3_008Pid",SM,,4.15,83,95,227,87,"photo ""A"""
